Categoria,Producto_Diseno,SKU,Tallas_Disponibles,Archivo_Asociado,Especificaciones_Generales,Modalidad_Venta,Precio_Unitario_PEN,Volumen_1_Etiqueta,Volumen_1_Precio,Volumen_2_Etiqueta,Volumen_2_Precio,Volumen_3_Etiqueta,Volumen_3_Precio
"Muebles Hogar","Sillas de Playa Premium (Blue Striped)","SILLA_PLAYA01","Talla Única","Muebles_Hogar-Silla_Playa_Premium-Blue_Striped-SILLA_PLAYA01-Talla_Unica.jpg","Silla de playa premium con 5 posiciones ajustables, almohada de soporte para el cuello, amplio bolsillo lateral, bolsa hielera desmontable y tirantes acolchados tipo mochila para liberar las manos.","Ventas por unidad, docena o cajón","","","","","","",""
"Juguetes - Motos","Red","MXR 001","Talla Única","Juguetes-Moto_Mini_Motocross-Red-MXR_001-Talla_Unica.jpg","Moto cross 49CC a gasolina para niños de 5 a 12 años. Motor de 2 tiempos, automática, tanque de combustible de 2 a 4 litros (autonomía 30-40 km) y llantas Aro 10. Cuenta con frenos de disco mecánicos, suspensión, velocidad máxima de 45 km/h, peso de 20 kg, capacidad de carga de 90 kg y encendido a jalón.","Ventas por unidad, docena o cajón","650","6 und","620","12 und","600","24 und","590"
"Juguetes - Motos","Black","MXR_002","Talla Única","Juguetes-Moto_Mini_Motocross-Black-MXR_002-Talla_Unica.jpg","Moto cross 49CC a gasolina para niños de 5 a 12 años. Motor de 2 tiempos, automática, tanque de combustible de 2 a 4 litros (autonomía 30-40 km) y llantas Aro 10. Cuenta con frenos de disco mecánicos, suspensión, velocidad máxima de 45 km/h, peso de 20 kg, capacidad de carga de 90 kg y encendido a jalón.","Ventas por unidad, docena o cajón","650","6 und","620","12 und","600","24 und","590"
"Juguetes - Motos","White Black","MXR_003","Talla Única","Juguetes-Moto_Mini_Motocross-White_Black-MXR_003-Talla_Unica.jpg","Moto cross 49CC a gasolina para niños de 5 a 12 años. Motor de 2 tiempos, automática, tanque de combustible de 2 a 4 litros (autonomía 30-40 km) y llantas Aro 10. Cuenta con frenos de disco mecánicos, suspensión, velocidad máxima de 45 km/h, peso de 20 kg, capacidad de carga de 90 kg y encendido a jalón.","Ventas por unidad, docena o cajón","650","6 und","620","12 und","600","24 und","590"
"Juguetes - Motos","Blue Red","MXR_004","Talla Única","Juguetes-Moto_Mini_Motocross-Blue_Red-MXR_004-Talla_Unica.jpg","Moto cross 49CC a gasolina para niños de 5 a 12 años. Motor de 2 tiempos, automática, tanque de combustible de 2 a 4 litros (autonomía 30-40 km) y llantas Aro 10. Cuenta con frenos de disco mecánicos, suspensión, velocidad máxima de 45 km/h, peso de 20 kg, capacidad de carga de 90 kg y encendido a jalón.","Ventas por unidad, docena o cajón","650","6 und","620","12 und","600","24 und","590"
"Juguetes - Cascos","Casco (Black)","CHX","Talla Única","Juguetes-Casco-Black-CHX-Talla_Unica.jpg","Cascos infantiles para motocross con diseños modernos, ligeros y seguros, ideales para pilotos entre 5 y 12 años.","Ventas por unidad, docena o cajón","","","","","","",""
"Juguetes - Cascos","Casco (Blue White)","CHX","Talla Única","Juguetes-Casco-Blue_White-CHX-Talla_Unica.jpg","Cascos infantiles para motocross con diseños modernos, ligeros y seguros, ideales para pilotos entre 5 y 12 años.","Ventas por unidad, docena o cajón","","","","","","",""
"Juguetes - Cascos","Casco (Orange Monster)","CHX","Talla Única","Juguetes-Casco-Orange_Monster-CHX-Talla_Unica.jpg","Cascos infantiles para motocross con diseños modernos, ligeros y seguros, ideales para pilotos entre 5 y 12 años.","Ventas por unidad, docena o cajón","","","","","","",""
"Juguetes - Cascos","Casco (Pink Blue)","CHX","Talla Única","Juguetes-Casco-Pink_Blue-CHX-Talla_Unica.jpg","Cascos infantiles para motocross con diseños modernos, ligeros y seguros, ideales para pilotos entre 5 y 12 años.","Ventas por unidad, docena o cajón","","","","","","",""
"Juguetes - Cascos","Casco (Orange Monster CH05)","CH05","Talla Única","Juguetes-Casco-Orange_Monster-CH05-Talla_Unica.jpg","Cascos infantiles para motocross con diseños modernos, ligeros y seguros, ideales para pilotos entre 5 y 12 años.","Ventas por unidad, docena o cajón","","","","","","",""
"Juguetes - Cascos","Casco (White Monster CH6)","CH6","Talla Única","Juguetes-Casco-White_Monster-CH6-Talla_Unica.jpg","Cascos infantiles para motocross con diseños modernos, ligeros y seguros, ideales para pilotos entre 5 y 12 años.","Ventas por unidad, docena o cajón","","","","","","",""
"Calzados - Sandalias","Grey","GM88_91","38 al 43","Calzados-Sandalia-Grey-GM88_91-Tallas_38_al_43.jpg","Calzado elaborado con espuma EVA, de diseño suave, cómodo y fresco.","Ventas por unidad, docena o cajón","30","Docena","25","Ciento","20","",""
"Calzados - Sandalias","White","GM92_96","36 al 45","Calzados-Sandalia-White-GM92_96-Tallas_36_al_45.jpg","Calzado elaborado con espuma EVA, de diseño suave, cómodo y fresco.","Ventas por unidad, docena o cajón","30","Docena","25","Ciento","20","",""
"Calzados - Sandalias","Black","GM98_100","38, 39, 40, 41","Calzados-Sandalia-Black-GM98_100-Tallas_38_39_40_41.jpg","Calzado elaborado con espuma EVA, de diseño suave, cómodo y fresco.","Ventas por unidad, docena o cajón","30","Docena","25","Ciento","20","",""
"Calzados - Sandalias","Khaki","GM102_106","38 al 45","Calzados-Sandalia-Khaki-GM102_106-Tallas_38_al_45.jpg","Calzado elaborado con espuma EVA, de diseño suave, cómodo y fresco.","Ventas por unidad, docena o cajón","30","Docena","25","Ciento","20","",""
"Calzados - Sandalias","Pink","GM109","40, 41","Calzados-Sandalia-Pink-GM109-Tallas_40_41.jpg","Calzado elaborado con espuma EVA, de diseño suave, cómodo y fresco.","Ventas por unidad, docena o cajón","30","Docena","25","Ciento","20","",""
"Calzados - Sandalias","Black Beige","GM113_116","36 al 43","Calzados-Sandalia-Black_Beige-GM113_116-Tallas_36_al_43.jpg","Calzado elaborado con espuma EVA, de diseño suave, cómodo y fresco.","Ventas por unidad, docena o cajón","30","Docena","25","Ciento","20","",""
"Calzados - Sandalias","White Grey","GM113_116","36 al 41","Calzados-Sandalia-White_GreyGM113_116--Tallas_36_al_41.jpg","Calzado elaborado con espuma EVA, de diseño suave, cómodo y fresco.","Ventas por unidad, docena o cajón","30","Docena","25","Ciento","20","",""
"Calzados - Sandalias","Green Green","GM128_130","38 al 41","Calzados-Sandalia-Green_Green-GM128_130-Tallas_38_al_41.jpg","Calzado elaborado con espuma EVA, de diseño suave, cómodo y fresco.","Ventas por unidad, docena o cajón","30","Docena","25","Ciento","20","",""
"Calzados - Sandalias","White Orange","GM123_127","36, 37, 38, 39, 42, 43","Calzados-Sandalia-White_Orange-GM123_127-Tallas_36_37_38_39_42_43.jpg","Calzado elaborado con espuma EVA, de diseño suave, cómodo y fresco.","Ventas por unidad, docena o cajón","30","Docena","25","Ciento","20","",""
"Calzados - Sandalias","Khaki Army","GM135_137","40 al 43","Calzados-Sandalia-Khaki_ArmyGM135_137--Tallas_40_al_43.jpg","Calzado elaborado con espuma EVA, de diseño suave, cómodo y fresco.","Ventas por unidad, docena o cajón","30","Docena","25","Ciento","20","",""
"Calzados - Sandalias","White Diseño","GM139_141","40, 41","Calzados-Sandalia-White Diseno-GM139_141-Tallas_40_41.jpg","Calzado elaborado con espuma EVA, de diseño suave, cómodo y fresco.","Ventas por unidad, docena o cajón","30","Docena","25","Ciento","20","",""
"Calzados - Zapatillas Niños","Black White","1136_1","27, 28, 35, 36, 37, 38, 39","Calzados-Zapatilla_Nino-Black_White1136_1--Tallas_27_28_35_36_37_38_39.jpg","Zapatillas urbanas y deportivas.","Ventas por unidad, docena o cajón","50","Docena","45","Ciento","40","",""
"Calzados - Zapatillas Niños","White","1136_2","27, 28, 29, 30, 39","Calzados-Zapatilla_Nino-White-1136 2-Tallas_27_28_29_30_39.jpg","Zapatillas urbanas y deportivas.","Ventas por unidad, docena o cajón","50","Docena","45","Ciento","40","",""
"Calzados - Zapatillas Niños","Green White","15379","27 al 32","Calzados-Zapatilla_Nino-Green White-15379-Tallas_27_al_32.jpg","Zapatillas urbanas y deportivas.","Ventas por unidad, docena o cajón","50","Docena","45","Ciento","40","",""
"Calzados - Zapatillas Niños","Purple Green White","971","28 al 39","Calzados-Zapatilla_Nino-Purple_Green_White-971-Tallas_28_al_39.jpg","Zapatillas urbanas y deportivas.","Ventas por unidad, docena o cajón","50","Docena","45","Ciento","40","",""
"Calzados - Zapatillas Niños","Pink White Geisha","928","26 al 39","Calzados-Zapatilla_Nino-Pink White Geisha-928-Tallas_26_al_39.jpg","Zapatillas urbanas y deportivas.","Ventas por unidad, docena o cajón","50","Docena","45","Ciento","40","",""
"Calzados - Zapatillas Niños","Pink LightBlue","968","31 al 39","Calzados-Zapatilla_Nino-Pink_LightBlue-968-Tallas_31_al_39.jpg","Zapatillas urbanas y deportivas.","Ventas por unidad, docena o cajón","50","Docena","45","Ciento","40","",""
"Calzados - Zapatillas Niños","White Blue","15321","30, 31, 32","Calzados-Zapatilla_Nino-White Blue-15321-Tallas_30_31_32.jpg","Zapatillas urbanas y deportivas.","Ventas por unidad, docena o cajón","50","Docena","45","Ciento","40","",""
"Calzados - Zapatillas Niños","White","11372","27, 28, 29","Calzados-Zapatilla_Nino-White-11372-Tallas_27_28_29.jpg","Zapatillas urbanas y deportivas.","Ventas por unidad, docena o cajón","50","Docena","45","Ciento","40","",""
"Calzados - Zapatillas Niños","White Mustard","15388","27 al 39","Calzados-Zapatilla_Nino-White Mustard-15388-Tallas_27_al_39.jpg","Zapatillas urbanas y deportivas.","Ventas por unidad, docena o cajón","50","Docena","45","Ciento","40","",""
"Calzados - Zapatillas Niños","Black Yellow","15061PM","27 al 39","Calzados-Zapatilla_Nino-Black Yellow15061PM--Tallas_27_al_39.jpg","Zapatillas urbanas y deportivas.","Ventas por unidad, docena o cajón","50","Docena","45","Ciento","40","",""
"Calzados - Zapatillas Señoritas","White Orange Black","9325","34, 37, 38, 39","Calzados-Zapatilla_Senorita-White_Orange_Black-9325-Tallas_34_37_38_39.jpg","Zapatillas urbanas y deportivas.","Ventas por unidad, docena o cajón","50","Docena","45","Ciento","40","",""
"Calzados - Zapatillas Señoritas","Pink Green Black","9325","37, 38, 39","Calzados-Zapatilla_Senorita-Pink_Green_Black-9325-Tallas_37_38_39.jpg","Zapatillas urbanas y deportivas.","Ventas por unidad, docena o cajón","50","Docena","45","Ciento","40","",""
"Calzados - Zapatillas Señoritas","Pink Purple","1530","39, 40","Calzados-Zapatilla_Senorita-Pink_Purple-1530-Tallas_39_40.jpg","Zapatillas urbanas y deportivas.","Ventas por unidad, docena o cajón","50","Docena","45","Ciento","40","",""
"Calzados - Zapatillas Señoritas","Light Pink","1530","39, 40","Calzados-Zapatilla_Senorita-Pink_Purple-1530-Tallas_39_40.jpg","Zapatillas urbanas y deportivas.","Ventas por unidad, docena o cajón","50","Docena","45","Ciento","40","",""
"Calzados - Zapatillas Señoritas","Melon","1530","39, 40","Calzados-Zapatilla_Senorita-Melon-1530-Tallas_39_40.jpg","Zapatillas urbanas y deportivas.","Ventas por unidad, docena o cajón","50","Docena","45","Ciento","40","",""
"Calzados - Zapatillas Señoritas","Light Pink","1530p","39, 40","Calzados-Zapatilla_Senorita-Pink_Purple1530p--Tallas_39_40.jpg","Zapatillas urbanas y deportivas.","Ventas por unidad, docena o cajón","50","Docena","45","Ciento","40","",""
"Calzados - Zapatillas Señoritas","White Pink Teal","1530v","37, 38, 39","Calzados-Zapatilla_Senorita-White Pink Teal-1530w-Tallas_37_38_39.jpg","Zapatillas urbanas y deportivas.","Ventas por unidad, docena o cajón","50","Docena","45","Ciento","40","",""
"Calzados - Zapatillas Señoritas","White","15427","34, 36, 37, 38, 39, 40","Calzados-Zapatilla_Senorita-White-15427-Tallas_34_36_37_38_39_40.jpg","Zapatillas urbanas y deportivas.","Ventas por unidad, docena o cajón","50","Docena","45","Ciento","40","",""
"Calzados - Zapatillas Señoritas","Pink Purple White","15232A","37, 38, 39, 40","Calzados-Zapatilla_Senorita-Pink_Purple_White-15232A-Tallas_37_38_39_40.jpg","Zapatillas urbanas y deportivas.","Ventas por unidad, docena o cajón","50","Docena","45","Ciento","40","",""
"Calzados - Zapatillas Señoritas","White Pink Blue","90122","37","Calzados-Zapatilla_Senorita-White_Pink_Blue-90122-Talla_37.jpg","Zapatillas urbanas y deportivas.","Ventas por unidad, docena o cajón","50","Docena","45","Ciento","40","",""
"Calzados - Zapatillas Jóvenes","White Blue","1986008","41, 42, 43, 44","Calzados-Zapatilla_Joven-White_Blue-1986008-Tallas_41_42_43_44.jpg","Zapatillas urbanas y deportivas.","Ventas por unidad, docena o cajón","50","Docena","45","Ciento","40","",""
"Calzados - Zapatillas Jóvenes","White Silver","198608","41, 42, 43, 44","Calzados-Zapatilla Joven-White Silver-198608-Tallas_41_42_43_44.jpg","Zapatillas urbanas y deportivas.","Ventas por unidad, docena o cajón","50","Docena","45","Ciento","40","",""
"Calzados - Zapatillas Jóvenes","Black White Soccer","9322","29 al 40","Calzados-Zapatilla_Joven-Black White Soccer-9322-Tallas_29_al_40.jpg","Zapatillas urbanas y deportivas.","Ventas por unidad, docena o cajón","50","Docena","45","Ciento","40","",""
"Calzados - Zapatillas Jóvenes","Blue White Soccer","9322A","29 al 40","Calzados-Zapatilla_Joven-Blue_White_Soccer-9322A-Tallas_29_al_40.jpg","Zapatillas urbanas y deportivas.","Ventas por unidad, docena o cajón","50","Docena","45","Ciento","40","",""
"Calzados - Zapatillas Jóvenes","Orange Blue Soccer","9322","32 al 40","Calzados-Zapatilla_Joven-Orange_Blue_Soccer-9322-Tallas_32_al_40.jpg","Zapatillas urbanas y deportivas.","Ventas por unidad, docena o cajón","50","Docena","45","Ciento","40","",""
"Calzados - Zapatillas Jóvenes","White Burgundy Letras","1111B","36, 37, 38, 42","Calzados-Zapatilla_Joven-White_Burgundy_Letras-1111B-Tallas_36_37_38_42.jpg","Zapatillas urbanas y deportivas.","Ventas por unidad, docena o cajón","50","Docena","45","Ciento","40","",""
"Calzados - Zapatillas Jóvenes","Black","153881","36, 37","Calzados-Zapatilla_Joven-Black-153881-Tallas_36_37.jpg","Zapatillas urbanas y deportivas.","Ventas por unidad, docena o cajón","50","Docena","45","Ciento","40","",""
"Calzados - Zapatillas Jóvenes","Red White","15388","36, 37","Calzados-Zapatilla Joven-Red_White-15388-Tallas_36_37.jpg","Zapatillas urbanas y deportivas.","Ventas por unidad, docena o cajón","50","Docena","45","Ciento","40","",""
"Calzados - Zapatillas Jóvenes","White Blue Yellow","15366","37, 42","Calzados-Zapatilla_Joven-White Blue Yellow-15366-Tallas_37_42.jpg","Zapatillas urbanas y deportivas.","Ventas por unidad, docena o cajón","50","Docena","45","Ciento","40","",""
"Calzados - Zapatillas Jóvenes","White Red Letras","15367","36, 37, 39, 40, 41, 42","Calzados-Zapatilla_Joven-White_Red_Letras-15367-Tallas_36_37_39_40_41_42.jpg","Zapatillas urbanas y deportivas.","Ventas por unidad, docena o cajón","50","Docena","45","Ciento","40","",""
"Calzados - Zapatillas Jóvenes","Black White Star","1013","38","Calzados-Zapatilla_Joven-Black White Star-1013-Talla_38.jpg","Zapatillas urbanas y deportivas.","Ventas por unidad, docena o cajón","50","Docena","45","Ciento","40","",""
"Calzados - Zapatillas Jóvenes","Green White","1015","42","Calzados-Zapatilla Joven-Green_White1015--Talla_42.jpg","Zapatillas urbanas y deportivas.","Ventas por unidad, docena o cajón","50","Docena","45","Ciento","40","",""
"Calzados - Zapatillas Jóvenes","White Pixel","153881","36,38","Calzados-Zapatilla Joven-White_Pixel1015--Talla_42.jpg","Zapatillas urbanas y deportivas.","Ventas por unidad, docena o cajón","50","Docena","45","Ciento","40","",""
"Calzados - Zapatillas Jóvenes","White Black","1B513","36, 38, 42, 43","Calzados-Zapatilla_Joven-White Black-0M16-Tallas_36_38_42_43.jpg","Zapatillas urbanas y deportivas.","Ventas por unidad, docena o cajón","50","Docena","45","Ciento","40","",""
"Accesorios","Case para celular","","","","","","10","Docena","8","Ciento","6","",""
"Suministros","Contometros","","","","","","","Caja (20und)","90","10 cajas","80","100 cajas","75"
"Licores","Etiqueta azul","","","","","","900","Caja (6und)","5000","10 cajas","4500","100 cajas","4400"
"Licores","Royal salute 21 años","","","","","","870","Caja(6und)","4900","10 cajas","4410","100 cajas","4312"
"Accesorios - Salud","Fajas","","","","","","150","6 und","110","100 und","90","",""